,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs,Download URLs,Chromagram,Spectral Centroids
0,1828,3369,36439,01 - C4133 - 4079-T_Sashidar-Flut,2,entani_nE_varNintunu,mukhAri,tyAgarAja,T Sashidar,https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4079-T_Sashidar-Flute//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4001---4200/4079-T_Sashidar-Flute/02-entani_nE_varNintunu-mukhAri.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4079-T_Sashidar-Flute/,"[[0.53791857 0.1970392  0.06700726 ... 0.31189486 0.26876616 0.10447721]
 [0.34881112 0.22539102 0.04968011 ... 0.644897   0.5998885  0.43592244]
 [0.2231061  0.2433881  0.04021671 ... 1.         1.         1.        ]
 ...
 [0.38643926 0.16748062 0.1464173  ... 0.00219523 0.00537941 0.02207268]
 [0.56632286 0.16612801 0.11298341 ... 0.00513878 0.00740928 0.0257251 ]
 [0.6280801  0.17374371 0.08797161 ... 0.06939209 0.06203063 0.04503473]]","[[1487.15881425 1503.88622866 1605.60908233 ... 1113.08726323
  1344.24350738 1588.74270501]]"
1,2425,4444,42092,36 - C0001 - DKJ-MYSORE,13,ranjani_mrdu_pankaja,rAgamAlikA,tanjAvUr_sankara_iyer,DK Jayaraman,https://www.sangeethamshare.org/ramakrishnan_c/DKJ-MYSORE//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ramakrishnan_c/DKJ-MYSORE/13-ranjani_mrdu_pankaja-rAgamAlikA.MP3&amp;url=https://www.sangeethamshare.org/ramakrishnan_c/DKJ-MYSORE/,"[[0.25753993 0.09527539 0.01019802 ... 0.15088573 0.19580661 0.40686962]
 [0.24161035 0.11389321 0.01553662 ... 0.18909226 0.20658515 0.36317313]
 [0.33914268 0.13233209 0.02422232 ... 0.1879632  0.15251118 0.2706561 ]
 ...
 [0.19029216 0.064511   0.00656304 ... 0.13877077 0.23280635 0.5484961 ]
 [0.25231594 0.06844256 0.00631531 ... 0.15196547 0.23528557 0.4927211 ]
 [0.3280683  0.07989916 0.00768946 ... 0.13549554 0.19797584 0.43735653]]","[[1137.6885086   942.08661701  792.69108385 ... 2190.86847967
  2323.57044821 2461.56269565]]"
